2019-04-11T01:53:16.603 CONU9997 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.609 CONU9991 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.612 CONU9996 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.618 CONU9990 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.618 CONU9990 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:53:16.620 CONU9994 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.620 CONU9994 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:53:16.622 CONU9993 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.624 CONU9993 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:53:16.627 CONU9995 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.627 CONU9995 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:53:16.629 CONU9991 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.632 CONU9991 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:53:16.633 CONU9999 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.633 CONU9999 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:53:16.636 CONU9998 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.637 CONU9998 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
